#Design: Design1;Power Bus Pin Impedance Power_GND
#Produced on;2024-05-31 02:11:38;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1(8): Magnitude;IC1(8): Re;IC1(8): Img
(Hz);(Ω);;
5.00000e+07;1.13276e+00;1.85085e-02;1.13260e+00
5.10000e+07;1.15884e+00;1.89468e-02;1.15868e+00
5.20000e+07;1.18517e+00;1.94060e-02;1.18501e+00
5.30000e+07;1.21175e+00;1.98876e-02;1.21159e+00
5.40000e+07;1.23860e+00;2.03932e-02;1.23843e+00
5.50000e+07;1.26574e+00;2.09247e-02;1.26557e+00
5.60000e+07;1.29318e+00;2.14838e-02;1.29300e+00
5.70000e+07;1.32094e+00;2.20728e-02;1.32075e+00
5.80000e+07;1.34903e+00;2.26937e-02;1.34884e+00
5.90000e+07;1.37747e+00;2.33493e-02;1.37728e+00
6.00000e+07;1.40629e+00;2.40421e-02;1.40609e+00
6.10000e+07;1.43550e+00;2.47751e-02;1.43529e+00
6.20000e+07;1.46513e+00;2.55516e-02;1.46491e+00
6.30000e+07;1.49521e+00;2.63752e-02;1.49498e+00
6.40000e+07;1.52575e+00;2.72498e-02;1.52551e+00
6.50000e+07;1.55679e+00;2.81799e-02;1.55654e+00
6.60000e+07;1.58837e+00;2.91703e-02;1.58810e+00
6.70000e+07;1.62050e+00;3.02264e-02;1.62022e+00
6.80000e+07;1.65323e+00;3.13542e-02;1.65294e+00
6.90000e+07;1.68661e+00;3.25602e-02;1.68629e+00
7.00000e+07;1.72066e+00;3.38521e-02;1.72033e+00
7.10000e+07;1.75544e+00;3.52381e-02;1.75509e+00
7.20000e+07;1.79101e+00;3.67276e-02;1.79063e+00
7.30000e+07;1.82741e+00;3.83311e-02;1.82701e+00
7.40000e+07;1.86471e+00;4.00606e-02;1.86428e+00
7.50000e+07;1.90297e+00;4.19294e-02;1.90251e+00
7.60000e+07;1.94228e+00;4.39529e-02;1.94178e+00
7.70000e+07;1.98271e+00;4.61485e-02;1.98217e+00
7.80000e+07;2.02436e+00;4.85360e-02;2.02377e+00
7.90000e+07;2.06732e+00;5.11383e-02;2.06669e+00
8.00000e+07;2.11172e+00;5.39817e-02;2.11103e+00
8.10000e+07;2.15767e+00;5.70965e-02;2.15692e+00
8.20000e+07;2.20533e+00;6.05179e-02;2.20450e+00
8.30000e+07;2.25485e+00;6.42870e-02;2.25393e+00
8.40000e+07;2.30642e+00;6.84518e-02;2.30540e+00
8.50000e+07;2.36024e+00;7.30689e-02;2.35911e+00
8.60000e+07;2.41655e+00;7.82052e-02;2.41528e+00
8.70000e+07;2.47562e+00;8.39405e-02;2.47419e+00
8.80000e+07;2.53776e+00;9.03698e-02;2.53615e+00
8.90000e+07;2.60333e+00;9.76081e-02;2.60149e+00
9.00000e+07;2.67274e+00;1.05795e-01;2.67065e+00
9.10000e+07;2.74649e+00;1.15099e-01;2.74408e+00
9.20000e+07;2.82515e+00;1.25732e-01;2.82235e+00
9.30000e+07;2.90941e+00;1.37954e-01;2.90613e+00
9.40000e+07;3.00006e+00;1.52090e-01;2.99621e+00
9.50000e+07;3.09811e+00;1.68557e-01;3.09352e+00
9.60000e+07;3.20472e+00;1.87884e-01;3.19921e+00
9.70000e+07;3.32136e+00;2.10761e-01;3.31466e+00
9.80000e+07;3.44982e+00;2.38095e-01;3.44159e+00
9.90000e+07;3.59236e+00;2.71098e-01;3.58212e+00
1.00000e+08;3.75185e+00;3.11416e-01;3.73890e+00
1.10000e+08;8.38488e+00;3.22416e+00;7.74022e+00
1.20000e+08;2.91031e+00;1.71366e+00;-2.35229e+00
1.30000e+08;4.94241e-01;3.15112e-01;3.80761e-01
1.40000e+08;1.30473e+00;1.46316e-01;1.29650e+00
1.50000e+08;1.85019e+00;9.64425e-02;1.84768e+00
1.60000e+08;2.27965e+00;7.72621e-02;2.27834e+00
1.70000e+08;2.66566e+00;7.05189e-02;2.66472e+00
1.80000e+08;3.04268e+00;7.09925e-02;3.04185e+00
1.90000e+08;3.43353e+00;7.75101e-02;3.43265e+00
2.00000e+08;3.85979e+00;9.11138e-02;3.85871e+00
