iteration,state,rewards,count
2075,[0 1 1 1 0 0 0 1],"{0: '5.0', 1: '5.0'}",11
2090,[2 0 1 0 0 1 0 1],"{0: '3.75', 1: '3.75'}",15
2144,[2 0 1 0 1 0 2 1],"{0: '1.25', 1: '1.25'}",54
2178,[0 2 1 0 0 1 0 0],"{0: '5.0', 1: '5.0'}",34
2180,[1 0 1 0 0 0 0 0],"{0: '7.5', 1: '7.5'}",2
2203,[0 2 1 1 1 2 0 0],"{0: '1.25', 1: '1.25'}",23
2210,[0 0 1 2 1 0 1 0],"{0: '3.75', 1: '3.75'}",7
2213,[0 2 1 1 0 0 0 0],"{0: '5.0', 1: '5.0'}",3
2214,[2 0 1 0 0 0 0 0],"{0: '7.25', 1: '6.25'}",1
2243,[0 0 1 2 1 0 0 0],"{0: '5.0', 1: '5.0'}",29
2247,[1 0 1 0 0 0 0 0],"{0: '7.5', 1: '7.5'}",4
2262,[1 0 1 0 1 0 0 1],"{0: '5.0', 1: '5.0'}",15
2286,[1 2 1 0 1 0 0 1],"{0: '2.5', 1: '2.5'}",24
2288,[0 0 1 0 0 1 2 0],"{0: '5.0', 1: '5.0'}",2
2339,[1 0 1 1 0 0 1 2],"{0: '2.5', 1: '2.5'}",51
2347,[1 0 1 0 0 1 0 2],"{0: '3.75', 1: '3.75'}",8
2350,[2 0 1 0 0 0 0 0],"{0: '6.25', 1: '6.25'}",3
2368,[0 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",18
2383,[0 0 1 0 1 2 0 1],"{0: '3.75', 1: '3.75'}",15
2384,[2 0 1 0 0 0 0 0],"{0: '7.25', 1: '6.25'}",1
2387,[0 0 1 0 0 0 2 0],"{0: '6.25', 1: '6.25'}",3
2396,[1 0 1 0 2 0 0 1],"{0: '3.75', 1: '3.75'}",9
2398,[0 0 1 0 0 0 2 0],"{0: '6.25', 1: '6.25'}",2
2402,[0 0 2 0 0 0 0 2],"{0: '5.0', 1: '5.0'}",4
2426,[0 0 1 1 1 0 0 0],"{0: '6.25', 1: '6.25'}",24
2489,[2 0 1 1 2 2 1 1],"{0: '-2.5', 1: '-2.5'}",63
2548,[1 0 1 1 1 2 0 2],"{0: '0.0', 1: '0.0'}",59
2554,[0 0 1 0 0 0 2 0],"{0: '6.25', 1: '6.25'}",6
2558,[0 0 1 0 0 2 2 0],"{0: '3.75', 1: '3.75'}",4
2587,[0 0 1 0 2 1 0 0],"{0: '5.0', 1: '5.0'}",29
