iteration,state,rewards,count
2519,[1 0 0 0 0 0 1 0 1 1 0 0],"{0: '6.708551483420592', 1: '6.666666666666666'}",20
2570,[1 1 0 1 1 1 1 1 0 1 1 0],"{0: '2.505235602094241', 1: '2.5'}",51
2659,[1 1 1 1 1 0 1 1 0 1 1 1],"{0: '1.6719022687609073', 1: '1.6666666666666665'}",89
2667,[1 0 0 0 1 0 0 1 0 0 0 1],"{0: '6.708551483420592', 1: '6.666666666666666'}",8
2704,[1 1 0 0 0 1 0 0 0 0 0 1],"{0: '6.687609075043629', 1: '6.666666666666666'}",37
2715,[1 0 0 0 0 0 0 1 1 0 1 0],"{0: '6.687609075043629', 1: '6.666666666666666'}",11
2932,[1 1 1 1 1 1 1 1 1 1 0 1],"{0: '0.838568935427574', 1: '0.8333333333333333'}",217
2987,[1 0 1 0 1 1 0 0 0 0 0 1],"{0: '5.849040139616056', 1: '5.833333333333334'}",55
3105,[1 1 1 1 1 1 1 1 1 1 1 1],"{0: '0.005235602094240838', 1: '0.0'}",118
3112,[1 1 0 0 0 0 0 0 0 1 0 1],"{0: '6.713787085514833', 1: '6.666666666666666'}",7
3157,[1 0 0 1 0 0 1 1 0 1 1 1],"{0: '4.171902268760908', 1: '4.166666666666667'}",45
3168,[1 1 0 0 0 1 0 0 0 0 0 1],"{0: '6.703315881326352', 1: '6.666666666666666'}",11
3187,[1 0 0 1 0 1 0 1 0 0 0 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",19
3205,[1 1 0 1 0 0 0 1 0 1 1 0],"{0: '5.005235602094241', 1: '5.0'}",18
3228,[1 0 0 0 1 0 0 1 0 1 0 0],"{0: '6.708551483420592', 1: '6.666666666666666'}",23
3246,[1 0 1 0 1 1 0 1 0 0 0 0],"{0: '5.849040139616056', 1: '5.833333333333334'}",18
3256,[1 1 0 1 0 0 0 1 0 0 1 0],"{0: '5.859511343804538', 1: '5.833333333333334'}",10
3282,[1 0 0 0 1 0 0 1 1 0 0 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",26
3299,[1 0 1 0 0 0 0 1 1 0 0 0],"{0: '6.687609075043629', 1: '6.666666666666666'}",17
3310,[1 0 0 0 1 0 0 1 0 0 1 0],"{0: '6.698080279232111', 1: '6.666666666666666'}",11
3342,[1 0 0 1 0 1 1 1 0 0 1 1],"{0: '4.171902268760908', 1: '4.166666666666667'}",32
3360,[1 1 0 0 0 0 0 1 0 1 0 0],"{0: '6.708551483420592', 1: '6.666666666666666'}",18
3374,[1 0 0 0 1 0 0 0 1 0 0 1],"{0: '6.69284467713787', 1: '6.666666666666666'}",14
3426,[1 0 0 0 0 1 0 1 1 0 0 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",52
3469,[1 0 1 0 0 0 1 0 1 0 1 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",43
3495,[1 1 0 0 0 0 1 0 1 0 0 0],"{0: '6.698080279232111', 1: '6.666666666666666'}",26
3511,[1 1 0 1 1 1 0 1 0 0 0 0],"{0: '5.005235602094241', 1: '5.0'}",16
3518,[1 0 1 0 0 0 0 0 1 0 0 1],"{0: '6.687609075043629', 1: '6.666666666666666'}",7
3537,[1 0 0 1 0 1 0 0 1 1 1 0],"{0: '5.005235602094241', 1: '5.0'}",19
3574,[1 1 0 0 1 1 1 1 1 0 1 0],"{0: '3.338568935427574', 1: '3.333333333333333'}",37
3589,[1 0 1 0 0 0 0 1 0 0 0 1],"{0: '6.687609075043629', 1: '6.666666666666666'}",15
3608,[1 0 0 0 0 0 0 0 1 1 1 0],"{0: '6.687609075043629', 1: '6.666666666666666'}",19
3621,[1 0 0 1 0 1 0 0 0 0 1 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",13
3641,[1 0 1 0 0 0 0 0 1 0 0 1],"{0: '6.687609075043629', 1: '6.666666666666666'}",20
3676,[1 1 1 1 0 0 0 0 0 0 1 0],"{0: '5.87521815008726', 1: '5.833333333333334'}",35
3852,[1 1 1 1 1 0 1 1 1 1 1 1],"{0: '0.838568935427574', 1: '0.8333333333333333'}",176
3873,[1 0 0 1 0 0 0 0 1 0 1 0],"{0: '6.687609075043629', 1: '6.666666666666666'}",21
3895,[1 1 1 0 0 0 1 0 0 1 0 1],"{0: '5.005235602094241', 1: '5.0'}",22
