#Design: Design1;Power Bus Pin Impedance Power_GND
#Produced on;2024-05-15 09:21:45;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC2(8): Magnitude;IC2(8): Re;IC2(8): Img
(Hz);(Ω);;
8.50000e+07;1.04327e+00;2.60931e-01;-1.01011e+00
8.60000e+07;8.66154e-01;2.29990e-01;-8.35061e-01
8.70000e+07;7.10497e-01;2.04823e-01;-6.80333e-01
8.80000e+07;5.72600e-01;1.84067e-01;-5.42209e-01
8.90000e+07;4.49861e-01;1.66741e-01;-4.17818e-01
9.00000e+07;3.40754e-01;1.52124e-01;-3.04912e-01
9.10000e+07;2.45343e-01;1.39675e-01;-2.01703e-01
9.20000e+07;1.67430e-01;1.28983e-01;-1.06753e-01
9.30000e+07;1.21212e-01;1.19731e-01;-1.88926e-02
9.40000e+07;1.28136e-01;1.11670e-01;6.28390e-02
9.50000e+07;1.74153e-01;1.04604e-01;1.39238e-01
9.60000e+07;2.32780e-01;9.83744e-02;2.10972e-01
9.70000e+07;2.93668e-01;9.28556e-02;2.78601e-01
9.80000e+07;3.53708e-01;8.79437e-02;3.42601e-01
9.90000e+07;4.11942e-01;8.35536e-02;4.03380e-01
1.00000e+08;4.68106e-01;7.96148e-02;4.61286e-01
1.10000e+08;9.34952e-01;5.56872e-02;9.33292e-01
1.20000e+08;1.30030e+00;4.56165e-02;1.29950e+00
1.30000e+08;1.62124e+00;4.14130e-02;1.62071e+00
1.40000e+08;1.92461e+00;4.05753e-02;1.92418e+00
1.50000e+08;2.22640e+00;4.23481e-02;2.22600e+00
1.60000e+08;2.53917e+00;4.68289e-02;2.53874e+00
1.70000e+08;2.87604e+00;5.48610e-02;2.87552e+00
1.80000e+08;3.25434e+00;6.84102e-02;3.25362e+00
1.90000e+08;3.70148e+00;9.17631e-02;3.70034e+00
2.00000e+08;4.26772e+00;1.35068e-01;4.26559e+00
