#Design: Design1;Power Bus Pin Impedance Power_GND
#Produced on;2024-05-30 05:35:14;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1(8): Magnitude;IC1(8): Re;IC1(8): Img
(Hz);(Ω);;
6.70000e+07;1.53023e+00;2.21725e-02;1.53007e+00
6.80000e+07;1.55847e+00;2.27821e-02;1.55830e+00
6.90000e+07;1.58706e+00;2.34237e-02;1.58688e+00
7.00000e+07;1.61601e+00;2.40997e-02;1.61583e+00
7.10000e+07;1.64536e+00;2.48125e-02;1.64517e+00
7.20000e+07;1.67511e+00;2.55651e-02;1.67492e+00
7.30000e+07;1.70529e+00;2.63605e-02;1.70509e+00
7.40000e+07;1.73593e+00;2.72021e-02;1.73572e+00
7.50000e+07;1.76705e+00;2.80934e-02;1.76683e+00
7.60000e+07;1.79868e+00;2.90387e-02;1.79844e+00
7.70000e+07;1.83084e+00;3.00423e-02;1.83059e+00
7.80000e+07;1.86357e+00;3.11092e-02;1.86331e+00
7.90000e+07;1.89690e+00;3.22448e-02;1.89663e+00
8.00000e+07;1.93088e+00;3.34553e-02;1.93059e+00
8.10000e+07;1.96553e+00;3.47472e-02;1.96523e+00
8.20000e+07;2.00091e+00;3.61281e-02;2.00058e+00
8.30000e+07;2.03706e+00;3.76063e-02;2.03671e+00
8.40000e+07;2.07403e+00;3.91911e-02;2.07366e+00
8.50000e+07;2.11188e+00;4.08930e-02;2.11149e+00
8.60000e+07;2.15068e+00;4.27237e-02;2.15025e+00
8.70000e+07;2.19048e+00;4.46964e-02;2.19002e+00
8.80000e+07;2.23136e+00;4.68260e-02;2.23087e+00
8.90000e+07;2.27341e+00;4.91295e-02;2.27288e+00
9.00000e+07;2.31672e+00;5.16262e-02;2.31614e+00
9.10000e+07;2.36138e+00;5.43379e-02;2.36076e+00
9.20000e+07;2.40751e+00;5.72897e-02;2.40683e+00
9.30000e+07;2.45523e+00;6.05106e-02;2.45448e+00
9.40000e+07;2.50468e+00;6.40337e-02;2.50386e+00
9.50000e+07;2.55601e+00;6.78976e-02;2.55511e+00
9.60000e+07;2.60941e+00;7.21468e-02;2.60841e+00
9.70000e+07;2.66506e+00;7.68337e-02;2.66395e+00
9.80000e+07;2.72318e+00;8.20194e-02;2.72195e+00
9.90000e+07;2.78404e+00;8.77761e-02;2.78265e+00
1.00000e+08;2.84791e+00;9.41895e-02;2.84635e+00
1.10000e+08;3.76139e+00;2.32884e-01;3.75418e+00
1.20000e+08;6.41127e+00;1.22845e+00;6.29248e+00
1.30000e+08;9.17101e+00;7.41839e+00;-5.39211e+00
1.40000e+08;6.89488e-01;5.91325e-01;-3.54581e-01
1.50000e+08;1.08075e+00;2.20697e-01;1.05797e+00
1.60000e+08;1.77888e+00;1.31519e-01;1.77401e+00
1.70000e+08;2.28939e+00;9.94979e-02;2.28722e+00
1.80000e+08;2.72891e+00;8.78873e-02;2.72749e+00
1.90000e+08;3.14972e+00;8.71896e-02;3.14851e+00
2.00000e+08;3.58451e+00;9.53418e-02;3.58324e+00
