iteration,state,rewards,count
2449,[1 0 1 0 0 0 1 0 1 0 1 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",53
2457,[1 0 0 0 0 0 0 1 1 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",8
2474,[0 1 0 0 0 1 0 0 0 1 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",17
2498,[0 0 0 1 0 0 0 1 1 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",24
2503,[0 0 0 0 1 0 0 0 0 0 1 1],"{0: '7.510471204188482', 1: '7.5'}",5
2530,[1 0 0 0 0 1 0 0 0 1 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",27
2562,[1 0 0 0 0 0 1 1 0 1 1 0],"{0: '5.849040139616056', 1: '5.833333333333334'}",32
2577,[0 0 0 0 0 1 0 0 0 0 1 1],"{0: '7.510471204188482', 1: '7.5'}",15
2609,[0 1 0 0 1 1 0 0 0 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",32
2640,[0 1 1 1 0 0 1 0 0 0 1 1],"{0: '5.0', 1: '5.0'}",31
2661,[0 0 1 1 0 0 0 0 1 0 1 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",21
2674,[1 1 0 0 0 0 0 0 1 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",13
2682,[0 1 0 0 0 0 0 1 1 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",8
2689,[0 1 0 0 0 0 0 1 0 1 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",7
2714,[1 1 0 0 0 0 1 0 1 0 1 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",25
2730,[0 0 1 0 1 0 0 1 0 0 1 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",16
2746,[0 1 1 0 1 1 0 1 0 0 1 0],"{0: '5.005235602094241', 1: '5.0'}",16
2759,[1 0 0 0 0 0 1 0 1 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",13
2781,[0 0 0 1 1 0 0 0 0 0 1 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",22
2809,[0 0 0 0 0 0 1 0 1 0 1 1],"{0: '6.677137870855148', 1: '6.666666666666666'}",28
2833,[1 0 1 1 0 0 0 0 0 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",24
2848,[0 1 0 0 0 0 0 0 1 0 1 1],"{0: '6.682373472949388', 1: '6.666666666666666'}",15
2907,[0 0 0 0 1 1 0 1 1 1 1 0],"{0: '5.005235602094241', 1: '5.0'}",59
2917,[0 0 0 0 0 0 0 0 1 0 1 1],"{0: '7.510471204188482', 1: '7.5'}",10
2960,[0 1 1 0 0 0 1 0 0 1 1 1],"{0: '5.0', 1: '5.0'}",43
2978,[1 0 0 0 0 1 0 1 0 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",18
