iteration,state,rewards,count
557,[0 0 0 0 0 0 1 1 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",6
559,[0 0 0 0 1 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
561,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
568,[0 1 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",7
570,[0 0 0 1 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
591,[1 0 0 1 0 0 1 0 0 0 0 0],"{0: '1.5104712041884816', 1: '1.5'}",21
596,[0 1 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",5
597,[0 0 0 0 0 0 1 0 0 0 0 1],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
603,[0 0 0 0 0 0 1 0 0 0 0 1],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",6
604,[0 0 0 0 0 0 1 0 0 1 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
610,[0 0 0 0 0 0 1 0 0 0 1 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",6
618,[0 0 0 0 1 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",8
626,[0 0 0 0 1 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",8
627,[0 0 0 0 0 1 1 0 0 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
630,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
632,[0 0 0 0 0 0 1 0 1 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
633,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
635,[0 0 0 0 0 0 1 0 1 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
644,[0 0 0 0 0 0 1 0 0 1 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",9
654,[0 0 0 0 1 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",10
662,[0 0 0 0 1 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",8
665,[0 1 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
673,[0 0 0 0 0 0 1 0 1 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",8
674,[0 0 0 0 0 1 0 0 1 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
681,[0 0 0 0 0 0 1 1 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",7
698,[0 0 0 0 0 0 1 1 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",17
701,[0 0 0 1 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
703,[0 0 0 0 0 0 1 0 0 0 0 1],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
704,[0 0 0 0 0 1 1 0 0 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
707,[0 0 0 0 0 0 1 0 1 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
711,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",4
712,[0 1 0 0 0 0 1 0 0 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
716,[0 0 0 0 0 0 1 0 0 0 0 1],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",4
724,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",8
725,[0 0 0 0 0 0 1 1 0 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
728,[0 0 0 0 0 0 1 0 1 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
730,[0 1 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
732,[0 0 0 0 0 0 1 0 0 1 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
744,[0 0 0 0 0 0 1 0 0 1 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",12
746,[0 0 0 0 0 0 1 0 0 1 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
747,[0 0 0 0 0 1 1 0 0 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
750,[0 0 0 0 0 0 1 0 0 0 1 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
753,[0 1 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
758,[0 0 0 0 0 0 1 0 0 1 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",5
763,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",5
766,[0 0 0 0 0 1 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
770,[0 0 0 0 0 0 1 1 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",4
777,[0 0 0 0 0 0 1 0 0 0 0 1],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",7
780,[0 0 0 0 0 0 1 0 0 0 1 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
787,[0 0 0 0 0 1 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",7
798,[0 0 0 0 0 1 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",11
799,[0 0 0 0 0 0 1 0 0 0 0 1],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
801,[0 0 0 0 0 0 1 0 1 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
802,[0 0 0 0 1 0 1 0 0 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
803,[0 0 0 0 0 0 1 0 0 0 0 1],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
805,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
816,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",11
819,[0 0 0 0 0 0 1 0 0 0 0 1],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
822,[0 0 0 0 0 0 1 0 0 1 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
841,[0 0 0 0 0 0 1 0 0 1 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",19
843,[0 0 0 0 0 0 1 0 0 0 1 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
851,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",8
863,[0 0 0 0 0 0 1 0 0 0 0 1],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",12
872,[0 0 0 0 0 0 1 0 0 1 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",9
876,[0 0 0 0 0 1 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",4
878,[0 0 0 0 0 0 1 0 0 0 1 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
893,[0 0 0 0 1 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",15
911,[0 0 0 0 0 0 1 1 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",18
914,[0 0 0 1 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
918,[0 0 0 1 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",4
923,[0 1 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",5
931,[0 0 0 0 0 0 1 0 0 0 0 1],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",8
936,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",5
943,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",7
945,[0 0 0 0 0 0 1 0 0 1 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
954,[0 1 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",9
955,[0 0 0 0 1 0 1 0 0 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
965,[0 0 0 0 0 0 1 0 0 0 0 1],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",10
973,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",8
978,[0 1 0 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",5
980,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
982,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",2
989,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",7
992,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
996,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",4
999,[0 0 1 0 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
1003,[0 0 0 1 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",4
1004,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
1009,[0 0 0 1 0 0 1 0 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",5
1012,[0 0 0 0 0 0 1 1 0 0 0 0],"{0: '1.6771378708551483', 1: '1.6666666666666667'}",3
