iteration,state,rewards,count
1379,[0 1 1 0 0 1 1 0 0 0 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",14
1394,[0 1 0 0 0 0 0 1 1 0 0 0],"{0: '7.5', 1: '7.5'}",15
1422,[1 1 0 0 1 1 0 1 0 0 0 0],"{0: '5.854275741710297', 1: '5.833333333333334'}",28
1438,[0 1 0 0 0 1 1 0 1 0 0 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",16
1462,[1 1 0 0 0 0 0 0 0 1 1 0],"{0: '6.687609075043629', 1: '6.666666666666666'}",24
1479,[1 1 0 0 0 1 0 0 0 0 1 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",17
1516,[1 1 1 0 0 1 0 0 1 1 0 0],"{0: '5.005235602094241', 1: '5.0'}",37
1526,[1 1 0 0 0 0 1 0 1 0 0 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",10
1533,[1 1 0 0 0 0 0 0 0 0 1 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",7
1544,[0 1 0 0 0 0 0 1 1 0 0 0],"{0: '7.515706806282722', 1: '7.5'}",11
1550,[0 1 0 0 0 1 1 0 0 0 0 1],"{0: '6.682373472949388', 1: '6.666666666666666'}",6
1568,[0 1 0 0 0 1 0 0 0 0 0 1],"{0: '7.515706806282722', 1: '7.5'}",18
1579,[1 1 0 0 0 0 0 0 1 0 0 1],"{0: '6.687609075043629', 1: '6.666666666666666'}",11
1583,[0 1 0 1 0 0 0 0 1 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",4
1618,[0 1 0 0 0 1 1 0 1 1 1 0],"{0: '5.005235602094241', 1: '5.0'}",35
1651,[1 1 0 0 0 1 0 0 1 0 1 1],"{0: '5.005235602094241', 1: '5.0'}",33
1681,[0 1 0 0 1 1 0 0 0 0 1 0],"{0: '6.687609075043629', 1: '6.666666666666666'}",30
1693,[1 1 1 0 0 0 1 0 0 0 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",12
1718,[1 1 1 0 0 0 0 0 0 0 0 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",25
1722,[0 1 0 0 0 0 0 1 1 0 0 0],"{0: '7.520942408376963', 1: '7.5'}",4
1728,[1 1 1 0 0 0 0 0 0 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",6
1744,[0 1 0 1 0 0 0 0 1 0 0 1],"{0: '6.671902268760907', 1: '6.666666666666666'}",16
1767,[1 1 1 0 0 0 0 0 0 1 0 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",23
1780,[0 1 0 0 0 0 1 0 1 0 1 1],"{0: '5.833333333333334', 1: '5.833333333333334'}",13
1790,[0 1 0 0 1 1 0 0 0 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",10
