iteration,state,rewards,count
2443,[0 0 0 0 1 0 1 0 1 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",16
2457,[0 0 0 0 1 1 0 1 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",14
2476,[1 1 0 0 1 0 0 1 0 0 0 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",19
2485,[0 0 0 0 1 1 0 0 0 1 1 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",9
2509,[0 0 0 0 1 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",24
2512,[0 0 0 1 1 0 0 0 1 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",3
2521,[0 0 1 0 1 0 0 0 1 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",9
2541,[0 0 1 0 1 0 0 0 0 1 0 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",20
2559,[0 0 0 0 1 0 0 1 0 0 0 1],"{0: '7.5', 1: '7.5'}",18
2576,[0 0 0 0 1 0 1 0 0 0 1 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",17
2582,[0 0 0 1 1 0 0 0 1 0 0 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",6
2598,[0 0 1 0 1 0 1 1 0 0 0 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",16
2602,[0 0 0 0 1 1 0 1 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",4
2604,[1 0 0 0 1 0 0 0 0 0 0 1],"{0: '7.515706806282722', 1: '7.5'}",2
2608,[0 0 0 0 1 1 0 0 1 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",4
2612,[0 0 0 0 1 0 0 1 1 0 0 0],"{0: '7.5', 1: '7.5'}",4
2620,[0 0 0 0 1 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",8
2628,[0 1 0 0 1 0 0 0 0 0 0 1],"{0: '7.5', 1: '7.5'}",8
2640,[0 0 0 1 1 1 0 1 0 0 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",12
2669,[0 1 0 0 1 0 1 0 0 0 0 1],"{0: '6.677137870855148', 1: '6.666666666666666'}",29
2693,[0 1 0 0 1 0 0 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",24
2747,[1 0 0 1 1 0 1 1 1 0 0 0],"{0: '5.005235602094241', 1: '5.0'}",54
2757,[0 0 1 0 1 0 0 0 0 1 0 1],"{0: '6.671902268760907', 1: '6.666666666666666'}",10
2759,[0 0 0 0 1 0 1 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",2
2773,[0 1 0 0 1 1 0 0 1 0 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",14
2814,[1 1 0 0 1 0 1 0 0 1 0 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",41
2834,[0 1 0 0 1 1 0 1 0 0 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",20
2859,[0 1 0 1 1 0 0 0 1 0 0 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",25
2866,[0 0 1 1 1 0 0 0 0 1 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",7
2896,[0 1 0 0 1 0 0 1 1 0 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",30
2904,[0 0 1 0 1 0 0 0 1 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",8
2913,[0 1 0 0 1 0 0 0 0 0 0 1],"{0: '7.510471204188482', 1: '7.5'}",9
