iteration,state,rewards,count
810,[0 2 0 0 0 0 1 0],"{0: '7.514760147601476', 1: '7.5'}",3
813,[0 0 0 2 2 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",3
823,[1 0 0 2 0 0 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",10
839,[0 0 0 1 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",16
862,[0 0 0 2 0 1 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",23
867,[0 0 2 0 0 0 2 2],"{0: '5.014760147601476', 1: '5.0'}",5
874,[0 0 0 1 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",7
880,[0 0 2 2 0 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",6
892,[0 0 0 1 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",12
905,[0 2 0 0 2 2 2 0],"{0: '3.348093480934809', 1: '3.333333333333333'}",13
907,[0 0 0 0 0 0 2 1],"{0: '7.592250922509225', 1: '7.5'}",2
913,[0 0 0 0 0 1 2 0],"{0: '7.592250922509225', 1: '7.5'}",6
925,[0 0 0 0 0 1 2 0],"{0: '7.592250922509225', 1: '7.5'}",12
926,[0 0 0 0 1 0 2 0],"{0: '8.5', 1: '7.5'}",1
929,[0 0 2 0 0 2 2 0],"{0: '5.014760147601476', 1: '5.0'}",3
941,[0 0 0 0 0 0 2 1],"{0: '7.592250922509225', 1: '7.5'}",12
942,[0 0 0 0 0 0 2 1],"{0: '8.5', 1: '7.5'}",1
946,[0 0 0 1 2 0 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",4
959,[0 0 0 1 0 1 2 2],"{0: '5.014760147601476', 1: '5.0'}",13
979,[0 2 2 0 0 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",20
1005,[0 0 0 1 0 0 2 2],"{0: '5.84809348093481', 1: '5.833333333333334'}",26
1015,[0 0 1 0 2 0 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",10
1016,[0 0 0 1 0 0 2 0],"{0: '8.5', 1: '7.5'}",1
1020,[2 0 0 0 2 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",4
1022,[0 1 0 0 0 0 2 1],"{0: '6.7589175891758915', 1: '6.666666666666666'}",2
1023,[0 1 0 0 0 0 2 0],"{0: '8.5', 1: '7.5'}",1
1040,[2 0 0 0 0 0 2 2],"{0: '5.014760147601476', 1: '5.0'}",17
1054,[0 0 0 1 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",14
1059,[0 0 0 0 0 1 2 0],"{0: '7.592250922509225', 1: '7.5'}",5
1081,[0 0 0 2 0 0 2 2],"{0: '5.014760147601476', 1: '5.0'}",22
1084,[1 0 0 0 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",3
1087,[0 0 1 2 0 0 2 0],"{0: '5.925584255842559', 1: '5.833333333333334'}",3
1092,[0 2 2 0 0 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",5
1103,[0 0 0 0 1 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",11
1115,[1 0 0 2 0 0 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",12
1119,[0 0 0 2 0 1 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",4
1127,[0 2 0 1 0 0 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",8
1129,[0 0 0 1 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",2
1136,[2 0 0 0 0 0 2 2],"{0: '5.014760147601476', 1: '5.0'}",7
1151,[1 0 0 0 0 2 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",15
1158,[0 1 0 0 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",7
1175,[2 2 0 0 0 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",17
1204,[0 2 0 0 2 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",29
1205,[0 0 0 0 0 0 2 1],"{0: '8.5', 1: '7.5'}",1
1211,[0 0 0 0 2 0 2 1],"{0: '5.84809348093481', 1: '5.833333333333334'}",6
1230,[0 0 0 0 1 2 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",19
1231,[1 0 0 0 0 0 2 0],"{0: '8.5', 1: '7.5'}",1
1235,[0 0 0 1 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",4
1245,[0 0 0 0 0 1 2 0],"{0: '7.592250922509225', 1: '7.5'}",10
1251,[0 0 0 0 1 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",6
1253,[0 0 0 0 0 1 2 0],"{0: '7.592250922509225', 1: '7.5'}",2
1266,[0 0 1 0 0 0 2 2],"{0: '5.84809348093481', 1: '5.833333333333334'}",13
1307,[0 2 0 0 1 0 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",41
1325,[0 0 1 0 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",18
1326,[0 0 0 0 0 1 2 0],"{0: '8.5', 1: '7.5'}",1
1334,[0 0 0 1 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",8
1338,[0 1 0 0 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",4
1344,[1 0 0 0 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",6
1347,[0 0 0 0 0 0 2 1],"{0: '7.592250922509225', 1: '7.5'}",3
1350,[0 1 0 0 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",3
1359,[0 1 0 0 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",9
1361,[0 0 0 0 1 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",2
1378,[0 2 0 0 0 0 2 1],"{0: '5.84809348093481', 1: '5.833333333333334'}",17
1379,[0 0 0 1 0 0 2 0],"{0: '8.5', 1: '7.5'}",1
1381,[1 0 0 0 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",2
1391,[0 0 2 0 0 2 2 0],"{0: '5.014760147601476', 1: '5.0'}",10
1404,[0 0 0 2 2 0 2 2],"{0: '3.348093480934809', 1: '3.333333333333333'}",13
1443,[0 1 0 0 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",39
1445,[1 0 0 0 0 2 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",2
1448,[0 0 2 0 0 1 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",3
1452,[0 0 0 1 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",4
1454,[0 0 0 0 0 1 2 0],"{0: '7.514760147601476', 1: '7.5'}",2
1460,[1 0 0 0 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",6
1461,[0 0 0 0 0 1 2 0],"{0: '8.5', 1: '7.5'}",1
1467,[1 0 0 0 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",6
1469,[2 2 0 0 0 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",2
